# Ground Truth Dataset for Entity Extraction Evaluation
# Generated from Medicine_Names_Packges.csv
# Instructions: This is auto-generated ground truth for evaluation
# Columns: audio_file, order_index, medicine_name, quantity, dosage, form, manufacturer
audio_file,order_index,medicine_name,quantity,dosage,form,manufacturer
R_008.m4a,28,AMLONG-H,20 strips,-,tablet,Micro Labs Limited
R_009.m4a,29,AMLONG-MT-25,5 bottles,-,tablet,Micro Labs Limited
R_010.m4a,30,AMLONG-MT-50,20 strips,-,tablet,Micro Labs Limited
R_011.m4a,31,AMLONG-TL-40,10 bottles,-,tablet,Micro Labs Limited
R_012.m4a,32,AMLONG-TRIO,10 strips,-,tablet,Micro Labs Limited
R_013.m4a,33,AMLOZAAR,20 bottles,-,tablet,Micro Labs Limited
R_014.m4a,34,AMLOZAAR-H,10 boxes,-,tablet,Micro Labs Limited
R_015.m4a,35,ANGIFREE-20MG,100 strips,20mg,tablet,Micro Labs Limited
R_016.m4a,36,ANGIFREE-SR-30MG,100 strips,30mg,tablet,Micro Labs Limited
R_017.m4a,37,ANGIPLAT-2.5,5 bottles,-,tablet,Micro Labs Limited
R_018.m4a,38,ANGIPLAT-6.5,10 vials,-,tablet,Micro Labs Limited
R_019.m4a,39,ANGIZAAR-25,10 strips,-,tablet,Micro Labs Limited
R_020.m4a,40,ANGIZAAR-50MG,5 bottles,50mg,tablet,Micro Labs Limited
R_001.m4a,41,ANGIZAAR-AT,50 strips,-,tablet,Micro Labs Limited
R_002.m4a,42,ANGIZAAR-H,20 bottles,-,tablet,Micro Labs Limited
R_003.m4a,43,ANORELIF,10 strips,-,tablet,Micro Labs Limited
R_004.m4a,44,ANXIT .25,10 packs,-,tablet,Micro Labs Limited
R_005.m4a,45,ANXIT .5,10 vials,-,tablet,Micro Labs Limited
R_006.m4a,46,ANXIT FORTE,20 vials,-,tablet,Micro Labs Limited
R_007.m4a,47,ANXIT PLUS,10 boxes,-,tablet,Micro Labs Limited
R_008.m4a,48,ANXIT-0.5SR,5 boxes,-,tablet,Micro Labs Limited
R_009.m4a,49,ANXIT-1MG,5 boxes,1mg,tablet,Micro Labs Limited
R_010.m4a,50,ANXIT-1SR,20 strips,-,tablet,Micro Labs Limited
R_011.m4a,51,APIVAS-2.5MG,10 boxes,5mg,tablet,Micro Labs Limited
R_012.m4a,52,APIVAS-5MG,20 vials,5mg,tablet,Micro Labs Limited
R_013.m4a,53,AQUAPRED D/DROP,5 bottles,-,syrup,Micro Labs Limited
R_014.m4a,54,AQUAPRED-O DROPS,20 strips,-,syrup,Micro Labs Limited
R_015.m4a,55,ARBITEL-20,10 strips,-,tablet,Micro Labs Limited
R_016.m4a,56,ARBITEL-40,10 boxes,-,tablet,Micro Labs Limited
R_017.m4a,57,ARBITEL-80,100 strips,-,tablet,Micro Labs Limited
R_018.m4a,58,ARBITEL-80-AM,100 strips,-,tablet,Micro Labs Limited
R_019.m4a,59,ARBITEL-80-H,5 bottles,-,tablet,Micro Labs Limited
R_020.m4a,60,ARBITEL-AM,10 strips,-,tablet,Micro Labs Limited
R_001.m4a,61,ARBITEL-AMH,10 boxes,-,tablet,Micro Labs Limited
R_002.m4a,62,ARBITEL-AV,50 strips,-,tablet,Micro Labs Limited
R_003.m4a,63,ARBITEL-CT 40/6.25 TAB,10 packs,-,tablet,Micro Labs Limited
R_004.m4a,64,ARBITEL-CT-40,5 boxes,-,tablet,Micro Labs Limited
R_005.m4a,65,ARBITEL-CT-80,10 packs,-,tablet,Micro Labs Limited
R_006.m4a,66,ARBITEL-H,100 strips,-,tablet,Micro Labs Limited
R_007.m4a,67,ARBITEL-H-MT-25,10 packs,-,tablet,Micro Labs Limited
R_008.m4a,68,ARBITEL-H-MT-50MG,10 vials,50mg,tablet,Micro Labs Limited
R_009.m4a,69,ARBITEL-MT-25MG,5 bottles,25mg,tablet,Micro Labs Limited
R_010.m4a,70,ARBITEL-MT-50MG,10 packs,50mg,tablet,Micro Labs Limited
R_011.m4a,71,ARBITEL-TRIO-25,20 vials,-,tablet,Micro Labs Limited
R_012.m4a,72,ARBITEL-TRIO-50,10 packs,-,tablet,Micro Labs Limited
R_013.m4a,73,ARETS TAB,20 packs,-,tablet,Micro Labs Limited
R_014.m4a,74,ARNIV-100 TAB,10 packs,-,tablet,Micro Labs Limited
R_015.m4a,75,ARNIV-50 TAB,50 packs,-,tablet,Micro Labs Limited
R_016.m4a,76,ASPIVAS,10 boxes,-,tablet,Micro Labs Limited
R_017.m4a,77,ASTIN-10,10 packs,-,tablet,Micro Labs Limited
R_018.m4a,78,ASTIN-20,10 vials,-,tablet,Micro Labs Limited
R_019.m4a,79,ASTIN-40MG,5 boxes,40mg,tablet,Micro Labs Limited
R_020.m4a,80,ASTIN-CV-10,10 strips,-,tablet,Micro Labs Limited
R_001.m4a,81,ASTIN-CV-20,20 vials,-,tablet,Micro Labs Limited
R_002.m4a,82,AVAS AM,10 strips,-,tablet,Micro Labs Limited
R_003.m4a,83,AVAS-10,50 strips,-,tablet,Micro Labs Limited
R_004.m4a,84,AVAS-10-ASP,10 vials,-,tablet,Micro Labs Limited
R_005.m4a,85,AVAS-20,50 packs,-,tablet,Micro Labs Limited
R_006.m4a,86,AVAS-20-EZ,50 packs,-,tablet,Micro Labs Limited
R_007.m4a,87,AVAS-40,10 boxes,-,tablet,Micro Labs Limited
R_008.m4a,88,AVAS-5,20 vials,-,tablet,Micro Labs Limited
R_009.m4a,89,AVAS-80,5 boxes,-,tablet,Micro Labs Limited
R_010.m4a,90,AVAS-ASP-10,20 packs,-,tablet,Micro Labs Limited
R_011.m4a,91,AVAS-ASP-20,20 packs,-,tablet,Micro Labs Limited
R_012.m4a,92,AVAS-CV-10MG,100 strips,10mg,tablet,Micro Labs Limited
R_013.m4a,93,AVAS-CV-20MG,20 packs,20mg,tablet,Micro Labs Limited
R_014.m4a,94,AVAS-D-10MG,20 strips,10mg,tablet,Micro Labs Limited
R_015.m4a,95,AVAS-D-20MG,10 vials,20mg,tablet,Micro Labs Limited
R_016.m4a,96,AVAS-EZ,5 bottles,-,tablet,Micro Labs Limited
R_017.m4a,97,AVAS-F TAB,10 boxes,-,tablet,Micro Labs Limited
R_018.m4a,98,AVAS-GOLD-10,50 packs,-,tablet,Micro Labs Limited
R_019.m4a,99,AVAS-GOLD-20,20 bottles,-,tablet,Micro Labs Limited
R_020.m4a,100,AVAS-PLUS,20 strips,-,tablet,Micro Labs Limited
R_001.m4a,101,AVOMIRA-25MG,50 packs,25mg,tablet,Micro Labs Limited
R_002.m4a,102,AVOMIRA-50MG,10 packs,50mg,tablet,Micro Labs Limited
R_003.m4a,103,AVOPROST TAB,10 vials,-,tablet,Micro Labs Limited
R_004.m4a,104,AVOPROST-D,20 strips,-,tablet,Micro Labs Limited
R_005.m4a,105,AZIDERM-10% CREAM,5 boxes,-,tablet,Micro Labs Limited
R_006.m4a,106,AZIDERM-10% GEL,20 packs,-,tablet,Micro Labs Limited
R_007.m4a,107,AZIDERM-20 GEL,20 packs,-,tablet,Micro Labs Limited
R_008.m4a,108,AZIDERM-20% CREAM,20 strips,-,tablet,Micro Labs Limited
R_009.m4a,109,AZILIDE-100 SYP,10 boxes,-,syrup,Micro Labs Limited
R_010.m4a,110,AZILIDE-100DT,10 strips,-,tablet,Micro Labs Limited
R_011.m4a,111,AZILIDE-200 SYP,20 packs,-,syrup,Micro Labs Limited
R_012.m4a,112,AZILIDE-250MG,20 packs,250mg,tablet,Micro Labs Limited
R_013.m4a,113,AZILIDE-500MG,5 boxes,500mg,tablet,Micro Labs Limited
R_014.m4a,114,AZILIDE-AX TAB,10 packs,-,tablet,Micro Labs Limited
R_015.m4a,115,AZILIDE-DT,10 boxes,-,tablet,Micro Labs Limited
R_016.m4a,116,AZILIDE-XL-100ML REDIUSE,10 boxes,100ml,syrup,Micro Labs Limited
R_017.m4a,117,AZILIDE-XL-200 REDIUSE,10 packs,-,syrup,Micro Labs Limited
R_018.m4a,118,BACTOCLAV DROPS,10 bottles,-,syrup,Micro Labs Limited
R_019.m4a,119,BACTOCLAV INJ 1.2G,100 strips,-,tablet,Micro Labs Limited
R_020.m4a,120,BACTOCLAV SYP,20 strips,-,syrup,Micro Labs Limited
R_001.m4a,121,BACTOCLAV-1000,20 bottles,-,tablet,Micro Labs Limited
R_002.m4a,122,BACTOCLAV-150MG INJ,10 strips,150mg,injection,Micro Labs Limited
R_003.m4a,123,BACTOCLAV-300MG INJ,5 bottles,300mg,injection,Micro Labs Limited
R_004.m4a,124,BACTOCLAV-375,50 packs,-,tablet,Micro Labs Limited
R_005.m4a,125,BACTOCLAV-600MG INJ,10 bottles,600mg,injection,Micro Labs Limited
R_006.m4a,126,BACTOCLAV-625,10 strips,-,tablet,Micro Labs Limited
R_007.m4a,127,BACTOCLAV-DDS 30ML SYP,20 packs,30ml,syrup,Micro Labs Limited
R_008.m4a,128,BACTOCLAV-DS 457 COMP PACK 60ML,50 packs,60ml,tablet,Micro Labs Limited
R_009.m4a,129,BACTOCLAV-DT,10 strips,-,tablet,Micro Labs Limited
R_010.m4a,130,BACTOCLAV-ES DRY SPY 60 ML,10 strips,60ml,tablet,Micro Labs Limited
R_011.m4a,131,BAMBRAL-10,10 strips,-,tablet,Micro Labs Limited
R_012.m4a,132,BC-300,10 boxes,-,tablet,Micro Labs Limited
R_013.m4a,133,BENLONG-4MG,10 packs,4mg,tablet,Micro Labs Limited
R_014.m4a,134,BENLONG-8MG,50 packs,8mg,tablet,Micro Labs Limited
R_015.m4a,135,BEROCIN-C TAB,10 packs,-,tablet,Micro Labs Limited
R_016.m4a,136,BEROCIN-CZ 100ML SYP,50 packs,100ml,syrup,Micro Labs Limited
R_017.m4a,137,BEROCIN-CZ 200ML SYP,20 vials,200ml,syrup,Micro Labs Limited
R_018.m4a,138,BEROCIN-CZ CAP,10 bottles,-,tablet,Micro Labs Limited
R_019.m4a,139,BEROCIN-DZ TAB,100 strips,-,tablet,Micro Labs Limited
R_020.m4a,140,BESIBACT EYE DROPS,10 boxes,-,syrup,Micro Labs Limited
R_001.m4a,141,BETA ANXIT-20,10 vials,-,tablet,Micro Labs Limited
R_002.m4a,142,BETABRIM E/DROPS,10 bottles,-,syrup,Micro Labs Limited
R_003.m4a,143,BETAFREE EYE DROPS,50 strips,-,syrup,Micro Labs Limited
R_004.m4a,144,BETAGEL,20 packs,-,tablet,Micro Labs Limited
R_005.m4a,145,BETAGEL-G,20 strips,-,tablet,Micro Labs Limited
R_006.m4a,146,BETAGEL-S,20 packs,-,tablet,Micro Labs Limited
R_007.m4a,147,BFN E/DROPS,10 boxes,-,syrup,Micro Labs Limited
R_008.m4a,148,BICEF-125 DT,20 bottles,-,tablet,Micro Labs Limited
R_009.m4a,149,BICEF-125 MG SYP,5 boxes,125mg,syrup,Micro Labs Limited
R_010.m4a,150,BICEF-250 DT,50 packs,-,tablet,Micro Labs Limited
R_011.m4a,151,BICEF-250 MG SYP,5 boxes,250mg,syrup,Micro Labs Limited
R_012.m4a,152,BICEF-500 DT,50 strips,-,tablet,Micro Labs Limited
R_013.m4a,153,BICEF-CV-250MG,5 boxes,250mg,tablet,Micro Labs Limited
R_014.m4a,154,BICEF-CV-500MG,5 bottles,500mg,tablet,Micro Labs Limited
R_015.m4a,155,BILAST,10 vials,-,tablet,Micro Labs Limited
R_016.m4a,156,BILAST-40 TAB,20 packs,-,tablet,Micro Labs Limited
R_017.m4a,157,BILAST-M,50 strips,-,tablet,Micro Labs Limited
R_018.m4a,158,BILAST-M SYP 60 ML,20 bottles,60ml,tablet,Micro Labs Limited
R_019.m4a,159,BIMADAY E/DROPS,100 strips,-,syrup,Micro Labs Limited
R_020.m4a,160,BIOFER,5 bottles,-,tablet,Micro Labs Limited
R_001.m4a,161,BIOFER-XT DROPS,50 packs,-,tablet,Micro Labs Limited
R_002.m4a,162,BIOFER-XT SYP,20 vials,-,syrup,Micro Labs Limited
R_003.m4a,163,BIOFER-XT TAB,10 packs,-,tablet,Micro Labs Limited
R_004.m4a,164,BIOSTAR,5 bottles,-,tablet,Micro Labs Limited
R_005.m4a,165,BIOSTAR GOLD,10 strips,-,tablet,Micro Labs Limited
R_006.m4a,166,BIOVITAL,20 packs,-,tablet,Micro Labs Limited
R_007.m4a,167,BIOVITAL GOLD CAP,20 packs,-,tablet,Micro Labs Limited
R_008.m4a,168,BIPACEF-1500MG INJ,20 strips,1500mg,tablet,Micro Labs Limited
R_009.m4a,169,BIPACEF-250MG,20 vials,250mg,tablet,Micro Labs Limited
R_010.m4a,170,BIPACEF-500MG,20 vials,500mg,tablet,Micro Labs Limited
R_011.m4a,171,BIPACEF-750MG INJ,5 boxes,750mg,injection,Micro Labs Limited
R_012.m4a,172,BISOLONG-2.5 MG TAB,100 strips,5mg,tablet,Micro Labs Limited
R_013.m4a,173,BISOLONG-5 MG TAB,5 bottles,5mg,tablet,Micro Labs Limited
R_014.m4a,174,BISOT-2.5 TAB,10 vials,-,tablet,Micro Labs Limited
R_015.m4a,175,BISOT-5 TAB,10 vials,-,tablet,Micro Labs Limited
R_016.m4a,176,BONMIN CAP,20 strips,-,tablet,Micro Labs Limited
R_017.m4a,177,BONMIN-K2,50 strips,-,tablet,Micro Labs Limited
R_018.m4a,178,BRIGREL TAB,10 bottles,-,tablet,Micro Labs Limited
R_019.m4a,179,BRIVAPRIDE-100MG,50 strips,100mg,tablet,Micro Labs Limited
R_020.m4a,180,BRIVAPRIDE-50MG,10 strips,50mg,tablet,Micro Labs Limited
R_001.m4a,181,BRIVAPRIDE-75MG,10 packs,75mg,tablet,Micro Labs Limited
R_002.m4a,182,BRUCET,20 vials,-,tablet,Micro Labs Limited
R_003.m4a,183,BUCAY OINT,100 strips,-,tablet,Micro Labs Limited
R_004.m4a,184,CALNIFIT TAB,20 bottles,-,tablet,Micro Labs Limited
R_005.m4a,185,CALOSOFT LOTION 100ML,20 packs,100ml,syrup,Micro Labs Limited
R_006.m4a,186,CALOSOFT LOTION 50ML,50 packs,50ml,syrup,Micro Labs Limited
R_007.m4a,187,CALOSOFT PLUS,10 bottles,-,tablet,Micro Labs Limited
R_008.m4a,188,CALOSOFT-AF 100ML,5 bottles,100ml,syrup,Micro Labs Limited
R_009.m4a,189,CALOSOFT-AF 50ML,20 vials,50ml,syrup,Micro Labs Limited
R_010.m4a,190,CANDELONG-16,5 boxes,-,tablet,Micro Labs Limited
R_011.m4a,191,CANDELONG-4,20 vials,-,tablet,Micro Labs Limited
R_012.m4a,192,CANDELONG-8,10 packs,-,tablet,Micro Labs Limited
R_013.m4a,193,CARBOX-150MG,10 boxes,150mg,tablet,Micro Labs Limited
R_014.m4a,194,CARBOX-300,20 bottles,-,tablet,Micro Labs Limited
R_015.m4a,195,CARIPIL SYP,20 vials,-,syrup,Micro Labs Limited
R_016.m4a,196,CARIPILL TAB,20 packs,-,tablet,Micro Labs Limited
R_017.m4a,197,CARTINEX TAB,20 bottles,-,tablet,Micro Labs Limited
R_018.m4a,198,CARVIDON-20,5 boxes,-,tablet,Micro Labs Limited
R_019.m4a,199,CARVIDON-MR,10 strips,-,tablet,Micro Labs Limited
R_020.m4a,200,CARVIDON-MT,20 strips,-,tablet,Micro Labs Limited
R_001.m4a,201,CARVIDON-OD CAP,50 packs,-,tablet,Micro Labs Limited
R_002.m4a,202,CARVIPRESS-12.5,10 boxes,-,tablet,Micro Labs Limited
R_003.m4a,203,CARVIPRESS-25,20 bottles,-,tablet,Micro Labs Limited
R_004.m4a,204,CARVIPRESS-3.125,50 packs,-,tablet,Micro Labs Limited
R_005.m4a,205,CARVIPRESS-6.25,20 strips,-,tablet,Micro Labs Limited
R_006.m4a,206,CEFGLOBE-100MG,10 bottles,100mg,tablet,Micro Labs Limited
R_007.m4a,207,CEFGLOBE-200,50 strips,-,tablet,Micro Labs Limited
R_008.m4a,208,CEFGLOBE-OZ TAB,5 boxes,-,tablet,Micro Labs Limited
R_009.m4a,209,CEFGLOBE-S 1GM INJ,50 packs,1gm,injection,Micro Labs Limited
R_010.m4a,210,CEFGLOBE-S-FORTE 1.5GM INJ,5 boxes,5gm,injection,Micro Labs Limited
R_011.m4a,211,CEFGLOBE-S-FORTE 2GM INJ,20 strips,2gm,injection,Micro Labs Limited
R_012.m4a,212,CEFGLOB-S-FORTE-3GM,20 vials,3gm,injection,Micro Labs Limited
R_013.m4a,213,CELEPRA-10MG,20 bottles,10mg,tablet,Micro Labs Limited
R_014.m4a,214,CELEPRA-20MG,10 vials,20mg,tablet,Micro Labs Limited
R_015.m4a,215,CELEPRA-40,10 vials,-,tablet,Micro Labs Limited
R_016.m4a,216,CHANNEL-30,5 bottles,-,tablet,Micro Labs Limited
R_017.m4a,217,CHANNEL-60,10 strips,-,tablet,Micro Labs Limited
R_018.m4a,218,CHANNEL-SR 90,50 strips,-,tablet,Micro Labs Limited
R_019.m4a,219,CHANNEL-SR-120,50 strips,-,tablet,Micro Labs Limited
R_020.m4a,220,CHOOZ CREAM 10GM,10 bottles,10gm,tablet,Micro Labs Limited
R_001.m4a,221,CHOOZ- CREAM 5 GM,10 vials,5gm,tablet,Micro Labs Limited
R_002.m4a,222,CITALIFT SYP,10 vials,-,tablet,Micro Labs Limited
R_003.m4a,223,CLARIWIN DRY SYP 125MG,10 strips,125mg,tablet,Micro Labs Limited
R_004.m4a,224,CLARIWIN-250,10 packs,-,tablet,Micro Labs Limited
R_005.m4a,225,CLARIWIN-500MG,20 packs,500mg,tablet,Micro Labs Limited
R_006.m4a,226,CLARIWIN-DT,10 boxes,-,tablet,Micro Labs Limited
R_007.m4a,227,CLYNOX CAP,50 packs,-,tablet,Micro Labs Limited
R_008.m4a,228,CORNIGEL OINT,20 strips,-,tablet,Micro Labs Limited
R_009.m4a,229,CORTIL,10 bottles,-,tablet,Micro Labs Limited
R_010.m4a,230,CORTILATE,5 boxes,-,tablet,Micro Labs Limited
R_011.m4a,231,CORTILATE-N,50 packs,-,tablet,Micro Labs Limited
R_012.m4a,232,CORTILATE-S,50 strips,-,tablet,Micro Labs Limited
R_013.m4a,233,COVERIT 10%,10 bottles,-,tablet,Micro Labs Limited
R_014.m4a,234,COVERIT PLUS,10 packs,-,tablet,Micro Labs Limited
R_015.m4a,235,COVERIT-2%,10 boxes,-,syrup,Micro Labs Limited
R_016.m4a,236,COVERIT-5%,50 packs,-,syrup,Micro Labs Limited
R_017.m4a,237,COXIB-200,10 vials,-,tablet,Micro Labs Limited
R_018.m4a,238,CURCUPRIDE,50 strips,-,tablet,Micro Labs Limited
R_019.m4a,239,CUTIWASH,10 vials,-,syrup,Micro Labs Limited
R_020.m4a,240,CUTIWASH SOFT,100 strips,-,syrup,Micro Labs Limited
R_001.m4a,241,D,20 vials,-,tablet,Micro Labs Limited
R_002.m4a,242,DABILONG-110,20 bottles,-,tablet,Micro Labs Limited
R_003.m4a,243,DABILONG-150,10 packs,-,tablet,Micro Labs Limited
R_004.m4a,244,DABILONG-75MG,10 boxes,75mg,tablet,Micro Labs Limited
R_005.m4a,245,DAJIO-10MG,5 bottles,10mg,tablet,Micro Labs Limited
R_006.m4a,246,DAJIO-5 TAB,20 vials,-,tablet,Micro Labs Limited
R_007.m4a,247,DAJIO-GM 1 TAB,10 vials,-,tablet,Micro Labs Limited
R_008.m4a,248,DAJIO-GM 2 TAB,20 packs,-,tablet,Micro Labs Limited
R_009.m4a,249,DAJIO-GM FORTE 2 TAB,20 bottles,-,tablet,Micro Labs Limited
R_010.m4a,250,DAJIO-L 5 TAB,5 bottles,-,tablet,Micro Labs Limited
R_011.m4a,251,DAJIO-M-1000,100 strips,-,tablet,Micro Labs Limited
R_012.m4a,252,DAJIO-M-500,5 boxes,-,tablet,Micro Labs Limited
R_013.m4a,253,DAPOLAST-30,5 bottles,-,tablet,Micro Labs Limited
R_014.m4a,254,DARBOSIS-25,10 bottles,-,tablet,Micro Labs Limited
R_015.m4a,255,DARBOSIS-40,20 strips,-,tablet,Micro Labs Limited
R_016.m4a,256,DAWNEX,5 boxes,-,tablet,Micro Labs Limited
R_017.m4a,257,DENSUEX,5 boxes,-,syrup,Micro Labs Limited
R_018.m4a,258,DIABOSE-25,10 strips,-,tablet,Micro Labs Limited
R_019.m4a,259,DIABOSE-50,20 bottles,-,tablet,Micro Labs Limited
R_020.m4a,260,DIACOMB-D3,10 bottles,-,tablet,Micro Labs Limited
R_001.m4a,261,DIAMIG-25,10 vials,-,tablet,Micro Labs Limited
R_002.m4a,262,DIAMIG-50,50 packs,-,tablet,Micro Labs Limited
R_003.m4a,263,DIANORM,50 packs,-,tablet,Micro Labs Limited
R_004.m4a,264,DIANORM FORTE,20 strips,-,tablet,Micro Labs Limited
R_005.m4a,265,DIANORM TOTAL-30MG,5 bottles,30mg,tablet,Micro Labs Limited
R_006.m4a,266,DIANORM TOTAL-60MG,10 boxes,60mg,tablet,Micro Labs Limited
R_007.m4a,267,DIANORM-40,20 packs,-,tablet,Micro Labs Limited
R_008.m4a,268,DIANORM-M,10 strips,-,tablet,Micro Labs Limited
R_009.m4a,269,DIANORM-M-OD,100 strips,-,tablet,Micro Labs Limited
R_010.m4a,270,DIANORM-M-OD-1000MG,10 boxes,1000mg,tablet,Micro Labs Limited
R_011.m4a,271,DIANORM-OD,20 packs,-,tablet,Micro Labs Limited
R_012.m4a,272,DIANORM-OD 30MG,20 vials,30mg,tablet,Micro Labs Limited
R_013.m4a,273,DIANORM-OD-60,5 bottles,-,tablet,Micro Labs Limited
R_014.m4a,274,DIAPRIDE FORTE,50 packs,-,tablet,Micro Labs Limited
R_015.m4a,275,DIAPRIDE FORTE 1G,10 packs,-,tablet,Micro Labs Limited
R_016.m4a,276,DIAPRIDE PLUS,20 strips,-,tablet,Micro Labs Limited
R_017.m4a,277,DIAPRIDE PLUS 1G,100 strips,-,tablet,Micro Labs Limited
R_018.m4a,278,DIAPRIDE-1,20 vials,-,tablet,Micro Labs Limited
R_019.m4a,279,DIAPRIDE-2,20 strips,-,tablet,Micro Labs Limited
R_020.m4a,280,DIAPRIDE-4,5 boxes,-,tablet,Micro Labs Limited
R_001.m4a,281,DIAPRIDE-DM 1 FORTE TAB,10 packs,-,tablet,Micro Labs Limited
R_002.m4a,282,DIAPRIDE-DM 1 TAB,5 bottles,-,tablet,Micro Labs Limited
R_003.m4a,283,DIAPRIDE-DM 2 FORTE,10 strips,-,tablet,Micro Labs Limited
R_004.m4a,284,DIAPRIDE-DM 2 TAB,5 bottles,-,tablet,Micro Labs Limited
R_005.m4a,285,DIAPRIDE-M-.5,10 strips,-,tablet,Micro Labs Limited
R_006.m4a,286,DIAPRIDE-M-1,20 packs,-,tablet,Micro Labs Limited
R_007.m4a,287,DIAPRIDE-M1 FORTE,10 strips,-,tablet,Micro Labs Limited
R_008.m4a,288,DIAPRIDE-M1-HV,50 packs,-,tablet,Micro Labs Limited
R_009.m4a,289,DIAPRIDE-M1-LV,50 strips,-,tablet,Micro Labs Limited
R_010.m4a,290,DIAPRIDE-M-2,10 vials,-,tablet,Micro Labs Limited
R_011.m4a,291,DIAPRIDE-M2 FORTE,10 packs,-,tablet,Micro Labs Limited
R_012.m4a,292,DIAPRIDE-M2-HV,20 vials,-,tablet,Micro Labs Limited
R_013.m4a,293,DIAPRIDE-M2-LV,10 strips,-,tablet,Micro Labs Limited
R_014.m4a,294,DIAPRIDE-M3,100 strips,-,tablet,Micro Labs Limited
R_015.m4a,295,DIAPRIDE-M3 FORTE,100 strips,-,tablet,Micro Labs Limited
R_016.m4a,296,DIAPRIDE-M4 FORTE,10 boxes,-,tablet,Micro Labs Limited
R_017.m4a,297,DIAPRIDE-M4 TAB,20 vials,-,tablet,Micro Labs Limited
R_018.m4a,298,DIAPRIDE-MS2 FORTE,10 strips,-,tablet,Micro Labs Limited
R_019.m4a,299,DIARICH POWDER,50 packs,-,tablet,Micro Labs Limited
R_020.m4a,300,DIARICH POWDER 100GM,100 strips,100gm,tablet,Micro Labs Limited
R_001.m4a,301,DIASURE-SR POWDER,20 vials,-,tablet,Micro Labs Limited
R_002.m4a,302,DIAVAS-1MG,50 strips,1mg,tablet,Micro Labs Limited
R_003.m4a,303,DIAVAS-2MG,5 bottles,2mg,tablet,Micro Labs Limited
R_004.m4a,304,DIBIZIDE,10 strips,-,tablet,Micro Labs Limited
R_005.m4a,305,DIBIZIDE-M,20 strips,-,tablet,Micro Labs Limited
R_006.m4a,306,DIBIZIDE-OD,10 strips,-,tablet,Micro Labs Limited
R_007.m4a,307,DIBIZIDE-OD-10MG,5 bottles,10mg,tablet,Micro Labs Limited
R_008.m4a,308,DIFLORATE CREAM,5 bottles,-,tablet,Micro Labs Limited
R_009.m4a,309,DILATE E/DROP,5 bottles,-,syrup,Micro Labs Limited
R_010.m4a,310,DIVALPRID-OD 1000,50 strips,-,tablet,Micro Labs Limited
R_011.m4a,311,DIVALPRID-OD 500,20 packs,-,tablet,Micro Labs Limited
R_012.m4a,312,DIVALPRID-OD-250MG,10 strips,250mg,tablet,Micro Labs Limited
R_013.m4a,313,DIVALPRID-OD-750,20 strips,-,tablet,Micro Labs Limited
R_014.m4a,314,DIVON GEL,100 strips,-,tablet,Micro Labs Limited
